Year,Inflation,Unemployment,GDP Growth,GDP per capita,Population Growth
1970,3.45024936360895,,5.10314454468504,18053.2877696478,0.332661392813347
1971,5.24097448273094,,3.13269979897395,18584.7134179179,0.183475313574861
1972,5.4849331221432,,4.30034130133481,19291.3926821626,0.478481045657976
1973,7.03202399303898,,4.77748688792387,20149.4771457641,0.314942451198579
1974,6.98643109327497,,0.890068708892883,20320.900896451,0.0389692231983959
1975,5.91033626324104,,-0.866738910077046,20220.0209844016,-0.372846359360899
1976,4.24663102299209,,4.94925841964529,21311.9450152475,-0.428766874960255
1977,3.73416240635147,,3.34721807378358,22075.2189133832,-0.226376662518719
1978,2.71869696123339,,3.00849288090146,22759.1492956686,-0.0870314153537852
1979,4.04362006473399,,4.15036330963736,23693.2601863037,0.0442074062989572
1980,5.44105754460347,,1.40882865694267,23977.2698576818,0.207430406185115
1981,6.34424277746325,,0.529240572519726,24067.4825489522,0.152308489359723
1982,5.24104507228422,,-0.394840785357886,23995.2661838189,-0.0951134365477742
1983,3.29341474302854,6.449,1.57241014877407,24436.5473264161,-0.262152572305171
1984,2.4057933993196,6.673,2.82294785741442,25213.38204825,-0.345666402296961
1985,2.0662330121658,6.875,2.32793518918379,25858.0588621429,-0.223489901582361
1986,-0.129413360854742,6.608,2.28733927623549,26437.4177349407,0.0457680639736539
1987,0.24990610870503,6.813,1.40215160945998,26766.9600591944,0.15361757528619
1988,1.27411894006923,6.319,3.70723564999483,27651.0362699101,0.390678960242038
1989,2.78056955569751,5.705,3.89655171515797,28507.1621309974,0.773336990610757
1990,2.69646824292392,4.89,5.25500609657068,29747.6909354385,0.861969448764933
1991,4.04703259753466,5.316,5.10826150662902,31040.2935634693,0.728605546561364
1992,5.05697796731731,6.323,2.01418423268822,31425.6476019368,0.760346946721127
1993,4.47457650752808,7.675,-0.973303672314501,30915.8728850114,0.657391218087626
1994,2.69305639854954,8.727,2.59758495227749,31609.1102824496,0.346856648630233
1995,1.70616041317076,8.158,1.50540577767291,31990.7949834569,0.293904443716697
1996,1.44972701963239,8.822,1.03815582464068,32229.4778712612,0.289474899455448
1997,1.93937198922729,9.861,1.8548172630131,32779.2802466297,0.146313281561803
1998,0.911183535014403,9.787,2.0961614012438,33461.3192177074,0.0151436508552808
1999,0.585433064230783,8.854,2.13011669389533,34152.0032259735,0.0646345779052372
2000,1.44026838719741,7.917,2.87724595591061,35087.0891588694,0.135431600393084
2001,1.98385731334471,7.773,1.63654099437316,35601.3628316391,0.168225361337335
2002,1.42080615551526,8.482,-0.228310223930706,35460.4121391449,0.168128319406931
2003,1.03422218628562,9.779,-0.529929010433477,35252.9745130135,0.0553633035873241
2004,1.66573696655992,10.727,1.16236825444811,35670.4870225493,-0.021709727650009
2005,1.54691114751328,11.193,0.885697256705441,36006.8578127742,-0.0567782618352031
2006,1.57742642840563,10.277,3.85573614635729,37437.3918784909,-0.112797497644931
2007,2.29834400700951,8.732,2.89010717888073,38570.9146369495,-0.133718572600486
2008,2.62837981637219,7.508,0.910403214153277,38996.1434106777,-0.190142844695674
2009,0.312739007368447,7.88,-5.54516454479311,36927.1920288238,-0.253383410163402
2010,1.1038103778926,7.043,4.14676755040489,38517.4397880176,-0.153198446937304
2011,2.07517283735874,5.967,3.75796884487347,40712.6577301892,-1.8537146287573
2012,2.00848884782956,5.372,0.47429132103845,40829.0348938423,0.187727800567293
2013,1.50472330251876,5.316,0.386224592046474,40875.0262868442,0.272900214681538
2014,0.906794000434246,4.98,2.16949889758517,41588.0763814971,0.416877359168292
2015,0.514426137125456,4.612,1.65271978656361,41911.0109851054,0.865702643950251
2016,0.491747008445174,4.104,2.29471066413561,42528.0637054999,0.807218538573871
2017,1.50949485109628,3.781,2.71602454639843,43520.1864273682,0.373724559895838
2018,1.73216879766942,3.384,1.11644310902427,43874.0130996238,0.300526701992065
2019,1.44565976888253,3.163,0.987893350164853,44207.6320584483,0.22551987421288
2020,0.144877925813982,3.881,-4.09513751682526,42362.6472083477,0.0816931586494595
2021,3.06666666666673,3.594,3.6699998840452,43898.7713207389,0.0423270572552137
2022,6.87257438551097,3.12,1.36973104612758,44180.4298386858,0.720875455989295
2023,5.94643667725823,3.068,-0.266438401180253,44008.131158562,0.123957150064395
2024,2.2564981433876,,-0.238526858256165,44108.7012570242,-0.467077236996451
