Year,Inflation,Unemployment,GDP Growth,Population Growth
1970,15.9503423646945,4.51,10.0527348072623,2.18417394689467
1971,13.5117023313079,4.57,10.5455135521971,1.97132365752048
1972,11.6889866806845,4.59,7.21436072179991,1.87599936966995
1973,3.22102904692326,4.04,14.8983226573489,1.7682927120788
1974,24.3041995402397,4.15,9.51183543440047,1.712705419969
1975,25.2492564056733,4.18,7.8399333381073,1.68200005474822
1976,15.3273205213194,3.808,13.2214478025627,1.59655859407233
1977,10.0966653313387,3.806,12.3359821950185,1.55903938603208
1978,14.4602850195024,3.167,10.9529856954848,1.5191967189167
1979,18.3234963421791,3.812,8.67122670709715,1.51687486775835
1980,28.6976086362017,5.196,-1.64568764044438,1.55846267819582
1981,21.351640254,4.507,7.24617628510612,1.56020399239876
1982,7.1908466400687,4.363,8.33807808691536,1.54546853308404
1983,3.42061419498921,4.068,13.3761744903693,1.47421882108841
1984,2.27395640001863,3.801,10.5516403549853,1.23401831140412
1985,2.45910879215274,3.983,7.83886402174087,0.984565597108821
1986,2.74998096063357,3.81,11.3272611963066,0.99472386803381
1987,3.04966077087423,3.088,12.7236921193269,0.985133112424576
1988,7.14609773721605,2.519,11.9877155593824,0.979189224150187
1989,5.70016544561401,2.569,7.07289360531416,0.989093268458301
1990,8.57327225728677,2.454,9.8775525016936,0.985130494218767
1991,9.33279048161495,2.407,10.7780561268967,0.989785981821526
1992,6.21328146355184,2.513,6.19864279836374,1.03916135557339
1993,4.80099660215354,2.878,6.87747412868558,1.01582143742509
1994,6.26585950039679,2.476,9.26866633778376,1.00615724501748
1995,4.48074108557248,2.063,9.61456539319965,1.00620085457685
1996,4.92454354292754,2.048,7.89070332600667,0.952779421852704
1997,4.4389318457463,2.608,6.17055242658977,0.937713808920155
1998,7.51358008079307,6.963,-5.12944816520964,0.72186501759031
1999,0.81295725444637,6.342,11.4669424267425,0.710794593061376
2000,2.25916580080157,4.063,9.06083332508534,0.836180864297766
2001,4.06657587897792,3.699,4.85239957151281,0.767241774760276
2002,2.76226210296599,3.046,7.72514267547173,0.577957276814842
2003,3.51487451459939,3.348,3.14729119373409,0.518321452985646
2004,3.59066298882578,3.42,5.19739136324382,0.396331436697806
2005,2.75379162735039,3.482,4.30854271411236,0.211997784117548
2006,2.24234028518921,3.254,5.26432659466724,0.525199940498775
2007,2.53457382137932,3.013,5.79954841503216,0.505234032920336
2008,4.67389655533408,2.959,3.01298487281167,0.759316681850927
2009,2.7564965449393,3.363,0.792698989518186,0.514682827535803
2010,2.93928652655686,3.324,6.80482491783671,0.49822508440111
2011,4.0259650043609,2.992,3.68566778212526,0.768971758582589
2012,2.18707104433314,2.812,2.40253099246186,0.525713660600414
2013,1.30134754547413,2.747,3.16470863647184,0.455218622164662
2014,1.27477446401322,3.082,3.2024537945736,0.628149861433639
2015,0.70633177245575,3.546,2.80910326824133,0.527288497407793
2016,0.971685739912168,3.65,2.94688171508626,0.396851823381145
2017,1.94433230786366,3.653,3.15963574012777,0.280968018301691
2018,1.47583935002645,3.824,2.90740377377135,0.433519027613049
2019,0.383000303608136,3.746,2.24397786011012,0.347874968577526
2020,0.537288023411737,3.931,-0.709415359397681,0.137869266247028
2021,2.49833333333339,3.639,4.30473481906969,-0.128757315474928
2022,5.08951365062842,2.857,2.61267219187226,-0.187486566698935
2023,3.5974562502901,2.675,1.35673324311098,0.077477253324535
2024,2.32174328643542,,,0.0743178674548815
