Year,Inflation,Unemployment,GDP Growth,GDP per capita,Population Growth
1970,6.92417383485781,1.1,0.399050644662367,14114.3158179311,1.15164047221803
1971,6.39534883720926,1.2,4.6989920420522,14456.8211953298,2.19425350665006
1972,4.84351713859905,1.4,8.41354725566508,15455.1369428917,1.40077918128147
1973,11.6086235489221,1.3,8.03259997458163,16463.2791725063,1.40718874054303
1974,23.2222458076842,1.4,-1.22523982783679,16046.7846823735,1.32958201880625
1975,11.7312661498708,1.9,3.09157591647113,16333.6748183565,1.27270755263251
1976,9.37403638606234,2.0,3.97498409081336,16801.9250305932,1.07155981022304
1977,8.16182689596842,2.0,4.39033795035795,17370.6165468128,0.968032726245575
1978,4.20956601068681,2.2,5.2719415031039,18120.7284269863,0.910030976022608
1979,3.70185092546269,2.1,5.48404183215798,18953.3339136853,0.846614502915837
1980,7.77858176555718,2.0,2.81759120759222,19334.3747441799,0.788153475885542
1981,4.91216291820523,2.2,4.26062449361741,20011.8292508515,0.728460836014089
1982,2.7410409556314,2.4,3.27974274279195,20525.2958514217,0.693656149424745
1983,1.89971971348485,2.6,3.63019857277,21122.9648423607,0.695583303069267
1984,2.26161369193155,2.7,4.41088015355157,21912.1518618966,0.648316736732903
1985,2.0322773460849,2.6,5.15980790450274,22898.9942415029,0.625935963624604
1986,0.595586799453249,2.8,3.29404761349421,23527.7125188746,0.532357366362317
1987,0.126176841696583,2.8,4.64886139743521,24503.0845657844,0.482035496974784
1988,0.678557580457558,2.5,6.66163652210332,26026.8648821365,0.416110342195181
1989,2.27228962064317,2.3,4.92578541317788,27199.9399695936,0.399761164504292
1990,3.0785162869516,2.095,4.84092905699353,28422.2131194472,0.33178288536374
1991,3.25143848753308,2.059,3.52335723553459,29308.2740881269,0.392819832481862
1992,1.7602830605927,2.158,0.900586066438109,29462.6539671073,0.371192387198527
1993,1.24304589707924,2.539,-0.459219716250544,29232.4397928009,0.32416759914373
1994,0.695458057869004,2.89,1.0833831743207,29466.7552451648,0.279192363973672
1995,-0.127899045020446,3.15,2.6309996164206,30171.1637924153,0.234590173412918
1996,0.136600358575909,3.383,3.13387099272759,31046.1701544217,0.226884732460898
1997,1.74780458692133,3.374,0.981228732290873,31276.1930771989,0.238271217591483
1998,0.661974191385911,4.078,-1.27033049466078,30795.0888900919,0.271729610231193
1999,-0.341296928327554,4.677,-0.333929957687772,30636.2661169604,0.182586374140107
2000,-0.676578683595175,4.748,2.76464755136783,31430.631130325,0.167275578113187
2001,-0.740055504162738,5.02,0.386103426142029,31476.0520665746,0.240952587521069
2002,-0.923494026942321,5.386,0.0419624992862282,31416.1241772309,0.232527187105684
2003,-0.256541816316025,5.251,1.53512549946694,31830.217584972,0.213980948779682
2004,-0.0085733882031027,4.734,2.18611569439318,32515.1158024695,0.0336622582725446
2005,-0.282946068764391,4.446,1.80390087215821,33098.5474664881,0.0093920965576633
2006,0.249355116079085,4.192,1.3723501275831,33531.518563066,0.0633735894181335
2007,0.060039454498669,3.888,1.48396941157472,33990.0360341367,0.114908847726211
2008,1.3800788616492,4.002,-1.22428900061713,33557.6454041595,0.0484253945978966
2009,-1.35283672951719,5.068,-5.69323635892741,31651.0837739562,-0.0124946312294096
2010,-0.728243207517779,5.103,4.09791791943181,32942.2020783835,0.0179605415195644
2011,-0.27245561610124,4.55,0.0238095237995424,33011.1342301291,-0.185226486410846
2012,-0.0440645104432602,4.358,1.37475099905274,33518.4449368599,-0.159710675844347
2013,0.335037912184741,4.038,2.00510017681211,34239.8862473488,-0.144271883387076
2014,2.75922671353253,3.589,0.296205514141889,34386.9058552671,-0.132694222147042
2015,0.795279630579839,3.385,1.56062669680782,34960.6393843385,-0.106124993746747
2016,-0.127258844489754,3.132,0.753826745789127,35242.199377148,-0.0511374152133631
2017,0.484199796126385,2.822,1.67533175173359,35861.9728545672,-0.081874296046114
2018,0.989094598021848,2.467,0.643391023533141,36138.5290824814,-0.126880068088791
2019,0.46877615938395,2.351,-0.402169200894946,36043.7844013518,-0.140464977878172
2020,-0.024995834027731,2.809,-4.16876457146743,34642.9718743239,-0.294194617750067
2021,-0.233352779398264,2.809,2.69657404187188,35741.1601062924,-0.459952415807642
2022,2.49770278172255,2.615,0.941998775483285,36238.3294895302,-0.443851919148528
2023,3.26813365933163,2.6,1.47503481053384,36952.5150709861,-0.487370782049143
2024,2.73853681635241,,0.0836985643852159,37144.9142660116,-0.435651699326323
