Year,Inflation,Unemployment,GDP Growth,GDP per capita,Population Growth
1970,5.29964124562675,2.42,6.20032856455546,17024.1166966733,0.910071021991229
1971,5.39751865595105,2.67,5.33059874393665,17763.4267121853,0.942308081213309
1972,6.06300309718187,2.77,4.53737440596311,18407.1540107699,0.877674176847892
1973,7.38060106398912,2.69,6.60998461174604,19465.8926495506,0.808254039339957
1974,13.6493174728139,2.86,4.69079683217863,20244.6170738093,0.661593218642967
1975,11.6859272493228,4.08,-1.12434934252717,19922.0019480375,0.475700887805125
1976,9.62549578155529,4.47,4.3859426596524,20707.7547183879,0.424132385282009
1977,9.49455467190434,5.01,3.5726543667741,21347.5558418814,0.467415655328551
1978,9.2505584672443,5.27,3.89498063335051,22078.7228161384,0.453327774115543
1979,10.6467341716664,6.03,3.69531078677157,22792.2359498683,0.448113600779868
1980,13.5625788483016,6.42,1.67641337198611,23050.9255953042,0.533919142662461
1981,13.3144055680071,7.54,1.18831474293866,23186.7612665684,0.593754110995282
1982,11.9784719523806,8.2,2.44251268690125,23666.5121788084,0.365202345952973
1983,9.45954847235318,7.918,1.26205761797051,23836.4018927227,0.538875770120835
1984,7.67380262247321,9.533,1.60947146551595,24102.0176176027,0.488491581974165
1985,5.83109973854516,10.259,1.56907436604108,24358.1382748825,0.499845780185524
1986,2.53852591781417,10.23,2.38953554470334,24813.0302579158,0.511141505762455
1987,3.28889821400133,10.735,2.55274621143047,25308.620924146,0.543092054847426
1988,2.70081527508113,10.18,4.81422400170246,26374.1221811161,0.578107856832589
1989,3.49830220700749,9.618,4.40516927190527,27372.0534763161,0.596976456799538
1990,3.19428338029475,9.36,2.82962715326478,27992.9751471374,0.547228307056949
1991,3.21340732409687,9.134,1.23666248297356,28197.2359540607,0.502041652701803
1992,2.36376046269353,10.203,1.5160611169627,28482.5194675509,0.498024782624795
1993,2.10446277124644,11.321,-0.35899781051468,28257.0962487817,0.43494888453875
1994,1.65551532926993,12.593,2.38366086110145,28822.5006495069,0.374521801846337
1995,1.79648142095595,11.834,2.30479278392259,29379.6158424052,0.364159563395629
1996,1.98288365089738,12.367,1.39707987198881,29683.7786067651,0.357448008376034
1997,1.20394294026962,12.566,2.5270616339357,30325.522871824,0.356761847855923
1998,0.651126867833049,12.074,3.45259434279616,31256.5073830655,0.37054023067343
1999,0.537141639134645,11.981,3.39930808809441,32152.7207478734,0.515860143523548
2000,1.67595988720927,10.218,4.14099996402915,33255.1379642335,0.686335719566776
2001,1.63478079549601,8.61,1.89946701186636,33640.6738002565,0.7289939490983
2002,1.9234122872706,8.702,1.06775027069419,33753.5782979758,0.727033002641047
2003,2.09847219146923,8.307,0.967827182558352,33840.6175720101,0.705638836747311
2004,2.14208964640241,8.914,2.86825052501032,34557.1471111581,0.732625502527391
2005,1.74586936380482,8.882,1.88856584109286,34946.0372494703,0.751885116821619
2006,1.67512449608723,8.833,2.71406448755236,35645.4162427116,0.696338574828463
2007,1.4879980595386,8.009,2.53048188351066,36322.1685141004,0.618225682593305
2008,2.81286194914787,7.386,0.380171435849121,36257.3658930938,0.558020613148126
2009,0.0876204781574552,9.122,-2.82455153714783,35052.8510772683,0.513351013325229
2010,1.53112270420926,9.279,2.00032476039051,35578.1968010183,0.492976371032656
2011,2.11159795174994,9.228,2.43757653729007,36269.9561530888,0.482667411007127
2012,1.9541953161351,9.841,0.183835264973013,36161.2918253465,0.483714919435185
2013,0.863715497861805,9.913,0.781756446231,36256.086680981,0.516915013016667
2014,0.50775882293799,10.273,0.997832947295251,36444.3949089146,0.474847846171767
2015,0.0375143805125182,10.354,1.06675474783462,36702.4323733379,0.355569240058298
2016,0.18333486112386,10.057,0.860031075424033,36920.5342846914,0.263868788565368
2017,1.03228275064662,9.41,2.08361485997399,37580.5979329356,0.29020211635109
2018,1.85081508315502,9.018,1.64590872395887,38062.4435961412,0.358494581816163
2019,1.10825492288294,8.415,2.02744646419237,38705.2072940618,0.332559129027963
2020,0.476498852725066,8.01,-7.44064589948231,35709.2045925926,0.324557781035362
2021,1.64233141038385,7.871,6.88233783360239,38030.8571685178,0.356902332389048
2022,5.22236748369735,7.303,2.57084047567793,38881.2230613595,0.326992498564887
2023,4.87835726508441,7.335,0.936487518850853,39117.4845032233,0.326319200823468
2024,1.99904942291463,,1.16613851497229,39441.2610467049,0.335095323008513
